"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: path"
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,5.816628,0.839652,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/extensions/ActiveTestTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,5.822183,1.104168,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/extensions/RepeatedTestTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,6.665522,0.694073,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/extensions/ExtensionTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,0.782228,0.147722,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/extensions/package-info.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.684988,0.639075,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/WasRun.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,0.761089,0.118782,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/package-info.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,2.545558,0.485831,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/AllTests.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,5.888052,0.627064,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/ListTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,5.177591,1.798660,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/SimpleTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,15.539607,1.722328,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/money/MoneyTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,13.536822,1.498863,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/money/MoneyBag.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,7.168383,0.790492,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/money/Money.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.483575,0.496965,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/money/IMoney.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,0.983369,0.526303,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/money/package-info.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,0.739499,0.158741,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/samples/package-info.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,4.492026,0.713841,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/experimental/categories/CategoryFilterFactoryTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,6.081527,0.608623,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/validator/AnnotationsValidatorTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,3.685286,0.521261,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/validator/PublicClassValidatorTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,5.381702,0.733236,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/validator/AnnotationValidatorFactoryTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,11.576726,0.856526,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/runner/JUnitCommandLineParseResultTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,12.898064,0.912159,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/runner/notification/ConcurrentRunNotifierTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,11.587812,0.452758,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/runner/notification/RunNotifierTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,14.683275,0.541996,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/org/junit/runner/notification/SynchronizedRunListenerTest.java
