"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: path"
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,48.071581,19.221883,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/ObservableSwitchMapCompletableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,76.469063,17.733837,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/FlowableSwitchMapMaybeTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,84.047675,14.408980,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/ObservableSwitchMapSingleTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,36.223978,17.305228,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/FlowableSwitchMapCompletableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,32.606074,13.732274,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/FlowableConcatMapMaybeTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,11.105678,2.425235,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/CompletableAndThenObservableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,48.936844,39.015535,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/ObservableSwitchMapMaybeTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,26.036304,7.388395,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/ObservableConcatMapCompletableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,13.190456,5.537414,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/SingleFlatMapObservableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,0.732090,0.323803,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/ScalarXMapZHelperTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.263700,3.177175,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeToCompletableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.160898,0.590459,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeMergeWithTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,49.034294,17.784794,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeUsingTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,9.075694,1.926796,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeDelayTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,13.962969,4.644087,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeMergeArrayTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.312403,1.158865,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeSwitchIfEmptyTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.742731,2.885003,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeHideTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,10.567924,3.574772,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeMergeTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.070895,3.688435,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeOnErrorXTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,17.135767,3.361153,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFromCallableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,7.294215,3.233767,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeCreateTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.099439,1.181953,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFlattenTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,10.378207,1.385605,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFlatMapIterableObservableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.568922,0.742340,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeConcatPublisherTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.353153,3.597489,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeToObservableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,9.489785,2.295289,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeOfTypeTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.772206,0.696579,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFilterSingleTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.783803,1.900978,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeContainsTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,0.901388,0.256274,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeSubscribeOnTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,12.512409,5.664142,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeConcatArrayTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.889409,0.586639,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFlatMapCompletableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.777975,1.916015,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeSwitchIfEmptySingleTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,45.450710,20.483662,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeTimeoutPublisherTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,96.762336,38.858178,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeTakeUntilTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.310518,1.690860,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeIsEmptyTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.162344,0.469914,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeErrorTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,11.137760,4.591727,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFromRunnableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.244379,0.506869,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeToSingleTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.845633,2.093305,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeDoFinallyTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,14.731034,5.141803,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeZipIterableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.118784,3.624552,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFlatMapSingleElementTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,10.757825,3.019066,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeAmbTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.537734,3.013800,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeIgnoreElementTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,8.727549,2.060350,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFlatMapNotificationTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,12.013940,5.285356,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeDelaySubscriptionTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.174360,2.164733,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeUnsubscribeOnTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,29.222119,2.789094,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeTimeoutTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.297899,0.545482,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeEqualTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.951095,1.094224,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFromSingleTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.301043,3.398791,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeToFlowableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,14.518747,4.841625,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeDetachTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.557227,1.986830,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeTimerTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,18.049700,9.103374,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeCallbackObserverTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.421983,3.167544,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFromCompletableTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.511439,2.411945,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeDoAfterSuccessTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,11.849140,3.699469,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeZipArrayTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,19.680190,8.102180,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeTakeUntilPublisherTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,16.748583,4.534332,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/maybe/MaybeFlatMapIterableFlowableTest.java
